modele,quantification,n_threads,label,joules_pmic,joules_pmic_std,j_par_tok,j_par_tok_std,tok_s,w_moyen,n,cv_j_par_tok
Gemma-3-1B,Q3_K_M,1,Gemma-3-1B Q3_K_M,32.11333333333333,32.289452343966246,0.3620178475513051,0.04117263393543797,12.131806475325357,4.580962962962963,405,0.11373095059796186
Gemma-3-1B,Q3_K_M,2,Gemma-3-1B Q3_K_M,32.059506172839505,32.340485000268025,0.3599151754452539,0.04301749441652854,14.725104918476845,5.573580246913581,405,0.11952120208132723
Gemma-3-1B,Q3_K_M,4,Gemma-3-1B Q3_K_M,39.480493827160494,40.01461354037091,0.43991165287438944,0.04116308246487,13.10141429470415,6.0110370370370365,405,0.09357124821747684
Gemma-3-1B,Q4_K_M,1,Gemma-3-1B Q4_K_M,49.293580246913585,48.9231394387783,0.6006044277299496,0.1275582218186708,7.476345109678574,4.560320987654321,405,0.2123830859868801
Gemma-3-1B,Q4_K_M,2,Gemma-3-1B Q4_K_M,44.125679012345685,43.431286144711876,0.5436039421022146,0.12405582705452899,10.773041986982324,5.911555555555555,405,0.22820994743853898
Gemma-3-1B,Q4_K_M,4,Gemma-3-1B Q4_K_M,49.51950617283951,49.28777829101694,0.6009765178264989,0.1283634540482047,11.123854762604342,6.773975308641975,405,0.21359146362730777
Gemma-3-1B,Q8_0,1,Gemma-3-1B Q8_0,41.174814814814816,39.12444170073024,0.4382599763430949,0.046820784040042446,10.353904964918918,4.681432098765432,405,0.10683335592431208
Gemma-3-1B,Q8_0,2,Gemma-3-1B Q8_0,47.78987654320988,45.57688283271573,0.5031268241212062,0.045425240365714395,10.290639647753734,5.3381234567901235,405,0.09028586469238059
Gemma-3-1B,Q8_0,4,Gemma-3-1B Q8_0,60.10074074074074,57.89048703845006,0.6237217169196829,0.04485384691551376,9.086488242937628,5.853481481481481,405,0.07191323582098332
Llama-3.2-1B,Q3_K_L,1,Llama-3.2-1B Q3_K_L,67.76913580246914,64.06797604844704,0.7698415487454378,0.14425098667675723,5.571436742689596,4.326197530864198,405,0.18737750243778603
Llama-3.2-1B,Q3_K_L,2,Llama-3.2-1B Q3_K_L,53.33802469135803,50.199405700886146,0.6120834160289846,0.13960472744793595,9.858863560532722,6.0676296296296295,405,0.2280812121224423
Llama-3.2-1B,Q3_K_L,4,Llama-3.2-1B Q3_K_L,53.56864197530864,50.78780433032874,0.609577250070756,0.13560340714996064,12.18859995068167,7.49237037037037,405,0.22245483592804788
Llama-3.2-1B,Q4_K_M,1,Llama-3.2-1B Q4_K_M,47.40222222222223,45.97286242130156,0.5163076702599486,0.06552162678006164,8.45396775253805,4.498123456790124,405,0.12690422892046724
Llama-3.2-1B,Q4_K_M,2,Llama-3.2-1B Q4_K_M,42.25654320987655,41.06785061769921,0.46085603852499163,0.06400183500081782,12.632277640885489,6.0215555555555556,405,0.13887598219535338
Llama-3.2-1B,Q4_K_M,4,Llama-3.2-1B Q4_K_M,49.321481481481484,48.11938441226802,0.532607214029343,0.06989412226894971,11.97235840493793,6.58837037037037,405,0.1312301456455658
Llama-3.2-1B,Q8_0,1,Llama-3.2-1B Q8_0,49.683703703703706,47.30495422436658,0.5744315709653212,0.14959637343444682,8.294465973504208,4.759604938271605,405,0.2604250549513722
Llama-3.2-1B,Q8_0,2,Llama-3.2-1B Q8_0,56.77111111111111,54.60313821540201,0.6445067942851869,0.13962294838307016,8.441491077175233,5.4515061728395064,405,0.21663533979951902
Llama-3.2-1B,Q8_0,4,Llama-3.2-1B Q8_0,69.55975308641976,67.48028230482504,0.7748443604382186,0.14219046488170425,7.603923487290019,5.940617283950617,405,0.18350842071211237
Qwen2.5-1.5B,Q3_K_L,1,Qwen2.5-1.5B Q3_K_L,87.36172839506173,79.42421066387449,0.9629362675657257,0.19465901938213004,4.492987262936221,4.3391111111111105,405,0.20215150881607385
Qwen2.5-1.5B,Q3_K_L,2,Qwen2.5-1.5B Q3_K_L,68.51308641975308,61.61763202076555,0.7700775218847612,0.19690745731582437,7.920485371834013,6.0672345679012345,405,0.2556982274120848
Qwen2.5-1.5B,Q3_K_L,4,Qwen2.5-1.5B Q3_K_L,68.70493827160495,62.10358661625441,0.7677768195907544,0.19232553164659505,9.828582433328776,7.48395061728395,405,0.2504966635344757
Qwen2.5-1.5B,Q4_K_M,1,Qwen2.5-1.5B Q4_K_M,54.586913580246915,53.68765600703425,0.6300872360921176,0.08581828636011989,7.089735618469153,4.580098765432099,405,0.13620064245766345
Qwen2.5-1.5B,Q4_K_M,2,Qwen2.5-1.5B Q4_K_M,48.93358024691358,48.28269997732727,0.5656083861094736,0.08467452715614492,10.457947659709788,6.0603950617283955,405,0.14970521872664763
Qwen2.5-1.5B,Q4_K_M,4,Qwen2.5-1.5B Q4_K_M,57.72148148148148,57.19991525107773,0.6599366424370446,0.08940687802896634,9.654417935703382,6.521654320987654,405,0.13547797209562493
Qwen2.5-1.5B,Q8_0,1,Qwen2.5-1.5B Q8_0,59.983209876543214,58.35918369335161,0.7199314744819331,0.1156472685999656,6.633463900086834,4.814666666666667,405,0.16063649485971712
Qwen2.5-1.5B,Q8_0,2,Qwen2.5-1.5B Q8_0,68.52913580246913,67.26935799635233,0.81002043080536,0.11660409194594572,6.7441021656896005,5.513901234567902,405,0.14395203813564617
Qwen2.5-1.5B,Q8_0,4,Qwen2.5-1.5B Q8_0,85.3204938271605,84.66911923618186,0.9906189703253274,0.11270938794459359,5.90694871231916,5.9165679012345676,405,0.11377673083282354
